year,title,rating,Execution time
1937,A Star Is Born,0,
1937,A Star Is Born,0,
1937,A Day at the Races,0,
1937,The Hurricane,0,
1937,Way Out West,0,
1937,Nothing Sacred,0,
1937,Snow White and the Seven Dwarfs,0,
1937,You Only Live Once,0,
1938,Le quai des brumes,4.1,
1938,Aleksandr Nevskiy,4,
1938,La bête humaine,4,
1938,Bringing Up Baby,4,
1938,The Lady Vanishes,4,
1938,You Can't Take It with You,4,
1938,The Adventures of Robin Hood,3.7,
1938,The Adventures of Robin Hood,3.7,
1938,Pygmalion,3.7,
1938,Jezebel,0,
1938,Love Finds Andy Hardy,0,
1938,Boys Town,0,
1938,Angels with Dirty Faces,0,
1938,Alexander's Ragtime Band,0,
1938,Room Service,0,
1939,La règle du jeu,4.3,
1939,Ninotchka,4.1,
1939,Gone with the Wind,3.9,
1939,Wuthering Heights,3.9,
1939,Wuthering Heights,3.9,
1939,Young Mr. Lincoln,3.9,
1939,Wuthering Heights,3.9,
1939,Dark Victory,3.9,
1939,Only Angels Have Wings,3.8,
1939,Gunga Din,3.7,
1939,Mr. Smith Goes to Washington,3.6,
1939,The Wizard of Oz,3.6,
1939,Jamaica Inn,3,
1939,The Hunchback of Notre Dame,0,
1939,The Roaring Twenties,0,
1939,Gulliver's Travels,0,
1939,Made for Each Other,0,
1939,Son of Frankenstein,0,
1939,The Hunchback of Notre Dame,0,
1939,Bachelor Mother,0,
1939,The Hunchback of Notre Dame,0,
1939,Stagecoach,0,
1939,At the Circus,0,
1939,Drums Along the Mohawk,0,
1939,"Goodbye, Mr. Chips",0,
1939,Destry Rides Again,0,
1939,Another Thin Man,0,
1939,The Adventures of Sherlock Holmes,0,
1939,Beau Geste,0,
1939,The Flying Deuces,0,
1939,The Return of Doctor X,0,
1940,The Great Dictator,4.2,
1940,The Shop Around the Corner,4.1,
1940,The Philadelphia Story,4.1,
1940,Waterloo Bridge,4,
1940,Christmas in July,4,
1940,My Favorite Wife,3.9,
1940,The Grapes of Wrath,3.8,
1940,Foreign Correspondent,3.7,
1940,Fantasia,3.5,
1940,Pinocchio,3.3,
1940,Pinocchio,3.3,
1940,I Love You Again,0,
1940,The Devil Bat,0,
1940,Dark Command,0,
1940,'Northwest Passage' (Book I -- Rogers' Rangers),0,
1940,The Westerner,0,
1940,The Mummy's Hand,0,
1940,My Little Chickadee,0,
1940,Go West,0,
1940,Santa Fe Trail,0,
1940,Strange Cargo,0,
1940,The Sea Hawk,0,
1940,Road to Singapore,0,
1940,They Drive by Night,0,
1940,The Ghost Breakers,0,
1940,Flash Gordon Conquers the Universe,0,
1940,The Invisible Man Returns,0,
1940,Our Town,0,
1940,The Bank Dick,0,
1940,Rebecca,0,
1940,His Girl Friday,0,
1940,Go West,0,
1941,Sullivan's Travels,4.2,
1941,Sullivan's Travels,4.2,
1941,Citizen Kane,4.1,
1941,The Lady Eve,4.1,
1941,Ball of Fire,4.1,
1941,The Maltese Falcon,4,
1941,Sergeant York,4,
1941,The Maltese Falcon,4,
1941,How Green Was My Valley,3.9,
1941,Penny Serenade,3.7,
1941,The Wolf Man,3.7,
1941,Johnny Eager,3.7,
1941,Dumbo,3.3,
1941,Here Comes Mr. Jordan,0,
1941,Buck Privates,0,
1941,You'll Never Get Rich,0,
1941,Road to Zanzibar,0,
1941,They Died with Their Boots On,0,
1941,The Big Store,0,
1941,High Sierra,0,
1941,49th Parallel,0,
1941,Meet John Doe,0,
1941,The Blood of Jesus,0,
1941,Shadow of the Thin Man,0,
1941,All That Money Can Buy,0,
1941,Pot o' Gold,0,
1941,The Little Foxes,0,
1942,La nuit fantastique,NULL,
1942,To Be or Not to Be,4.2,
1942,To Be or Not to Be,4.2,
1942,The Magnificent Ambersons,4.1,
1942,Holiday Inn,4,
1942,The Major and the Minor,4,
1942,Casablanca,4,
1942,Mrs. Miniver,3.9,
1942,The Palm Beach Story,3.9,
1942,The Pride of the Yankees,3.9,
1942,The Man Who Came to Dinner,3.9,
1942,The Talk of the Town,3.8,
1942,Yankee Doodle Dandy,3.8,
1942,My Sister Eileen,3.7,
1942,This Gun for Hire,3.7,
1942,I Married a Witch,3.7,
1942,Saboteur,3.6,
1942,Bambi,3.4,
1942,The Spoilers,0,
1942,For Me and My Gal,0,
1942,Road to Morocco,0,
1942,Sherlock Holmes and the Voice of Terror,0,
1942,You Were Never Lovelier,0,
1942,Random Harvest,0,
1942,Across the Pacific,0,
1942,Wake Island,0,
1942,Roxie Hart,0,
1942,"Now, Voyager",0,
1942,Road to Morocco,0,
1942,Flying Tigers,0,
1942,Kings Row,0,
1942,In This Our Life,0,
1942,In Old California,0,
1942,The Ghost of Frankenstein,0,
1943,The Battle of Russia,NULL,
1943,The Nazis Strike,NULL,
1943,Divide and Conquer,NULL,
1943,Son of Dracula,NULL,
1943,The Life and Death of Colonel Blimp,4.2,
1943,Vredens dag,4.2,
1943,Shadow of a Doubt,4,
1943,Le corbeau,4,
1943,Ossessione,3.9,
1943,The More the Merrier,3.9,
1943,I Walked with a Zombie,3.7,
1943,The Seventh Victim,3.6,
1943,Lady of Burlesque,3.2,
1943,Old Acquaintance,0,
1943,December 7th,0,
1943,Crash Dive,0,
1943,Madame Curie,0,
1943,The Battle of Britain,0,
1943,Heaven Can Wait,0,
1943,Guadalcanal Diary,0,
1943,The Ox-Bow Incident,0,
1943,Lassie Come Home,0,
1943,Sherlock Holmes and the Secret Weapon,0,
1943,Action in the North Atlantic,0,
1943,Hangmen Also Die!,0,
1943,Cabin in the Sky,0,
1943,The Song of Bernadette,0,
1943,Sherlock Holmes in Washington,0,
1943,Sherlock Holmes Faces Death,0,
1943,Stage Door Canteen,0,
1943,Frankenstein Meets the Wolf Man,0,
1943,Prelude to War,0,
1943,Watch on the Rhine,0,
1943,Holy Matrimony,0,
1943,Heaven Can Wait,0,
1943,For Whom the Bell Tolls,0,
1943,Destination Tokyo,0,
1944,Double Indemnity,4.2,
1944,To Have and Have Not,4.1,
1944,Ivan Groznyy,4.1,
1944,Gaslight,4,
1944,Arsenic and Old Lace,4,
1944,The Miracle of Morgan's Creek,3.9,
1944,Going My Way,3.8,
1944,Meet Me in St. Louis,3.8,
1944,Hets,3.8,
1944,Lifeboat,3.8,
1944,The Three Caballeros,3.3,
1944,I bambini ci guardano,0,
1944,Thirty Seconds Over Tokyo,0,
1944,Bluebeard,0,
1944,National Velvet,0,
1944,The Mummy's Curse,0,
1944,I'll Be Seeing You,0,
1944,Since You Went Away,0,
1944,The Mummy's Ghost,0,
1944,"Murder, My Sweet",0,
1944,Laura,0,
1944,House of Frankenstein,0,
1944,The Memphis Belle: A Story of a Flying Fortress,0,
1944,Cover Girl,0,
1944,Dragon Seed,0,
1944,The Curse of the Cat People,0,
1944,The Mask of Dimitrios,0,
1944,Ministry of Fear,0,
1944,Mr. Skeffington,0,
1944,The Fighting Seabees,0,
1944,Passage to Marseille,0,
1944,The Return of the Vampire,0,
1945,Les enfants du paradis,4.4,
1945,"Roma, città aperta",4.2,
1945,Brief Encounter,4.2,
1945,Mildred Pierce,4.1,
1945,The Lost Weekend,4,
1945,Spellbound,3.8,
1945,Spellbound,3.8,
1945,Les dames du Bois de Boulogne,3.8,
1945,Leave Her to Heaven,3.8,
1945,Detour,3.7,
1945,The Bells of St. Mary's,3.7,
1945,Story of G.I. Joe,3.5,
1945,House of Dracula,3.1,
1945,They Were Expendable,0,
1945,The Wicked Lady,0,
1945,A Walk in the Sun,0,
1945,"Objective, Burma!",0,
1945,State Fair,0,
1945,Back to Bataan,0,
1945,Along Came Jones,0,
1945,Anchors Aweigh,0,
1945,The Picture of Dorian Gray,0,
1945,Son of Lassie,0,
1945,And Then There Were None,0,
1945,The Thin Man Goes Home,0,
1945,'I Know Where I'm Going!',0,
1945,The Woman in Green,0,
1945,Scarlet Street,0,
1945,Dakota,0,
1945,Dead of Night,0,
1945,Blood on the Sun,0,
1945,The Spiral Staircase,0,
1946,A Matter of Life and Death,4.4,
1946,The Best Years of Our Lives,4.2,
1946,The Big Sleep,4.1,
1946,The Big Sleep,4.1,
1946,It's a Wonderful Life,4,
1946,My Darling Clementine,3.8,
1946,My Darling Clementine,3.8,
1946,Green for Danger,3.8,
1946,Song of the South,3.6,
1946,The Strange Love of Martha Ivers,3.5,
1946,Bedlam,3.3,
1946,Make Mine Music,3.1,
1946,La symphonie pastorale,0,
1946,Night and Day,0,
1946,Gilda,0,
1946,Road to Utopia,0,
1946,Angel on My Shoulder,0,
1946,The Harvey Girls,0,
1946,Undercurrent,0,
1946,Waga seishun ni kuinashi,0,
1946,Humoresque,0,
1946,The Jolson Story,0,
1946,Duel in the Sun,0,
1946,The Beast with Five Fingers,0,
1946,The Yearling,0,
1946,La belle et la bête,0,
1946,Dressed to Kill,0,
1946,A Night in Casablanca,0,
1946,Black Angel,0,
1946,Terror by Night,0,
1946,Dressed to Kill,0,
1947,Out of the Past,4.2,
1947,Black Narcissus,4.1,
1947,Odd Man Out,4,
1947,Monsieur Verdoux,4,
1947,Body and Soul,4,
1947,Quai des Orfèvres,3.9,
1947,Nightmare Alley,3.9,
1947,The Bishop's Wife,3.8,
1947,Gentleman's Agreement,3.8,
1947,The Bachelor and the Bobby-Soxer,3.7,
1947,Subarashiki nichiyôbi,3.7,
1947,Miracle on 34th Street,3.5,
1947,Crossfire,3.5,
1947,Miracle on 34th Street,3.5,
1947,Fun & Fancy Free,3.4,
1947,The Sin of Harold Diddlebock,3.3,
1947,The Paradine Case,3.2,
1947,Railroaded!,0,
1947,Song of the Thin Man,0,
1947,Golden Earrings,0,
1947,The Perils of Pauline,0,
1947,Dead Reckoning,0,
1947,Angel and the Badman,0,
1947,The Farmer's Daughter,0,
1947,T-Men,0,
1947,Road to Rio,0,
1947,Life with Father,0,
1947,Dark Passage,0,
1947,My Favorite Brunette,0,
1947,The Ghost and Mrs. Muir,0,
1947,It Had to Be You,0,
1947,Lured,0,
1947,The Secret Life of Walter Mitty,0,
1947,13 Rue Madeleine,0,
1948,Yoru no onnatachi,NULL,
1948,Ladri di biciclette,4.3,
1948,The Red Shoes,4.2,
1948,The Treasure of the Sierra Madre,4.1,
1948,Yoidore tenshi,4,
1948,I Remember Mama,4,
1948,Rope,4,
1948,The Fallen Idol,4,
1948,Unfaithfully Yours,3.9,
1948,Bud Abbott Lou Costello Meet Frankenstein,3.8,
1948,Act of Violence,3.8,
1948,The Naked City,3.8,
1948,Easter Parade,3.8,
1948,A Foreign Affair,3.7,
1948,Force of Evil,3.7,
1948,A Foreign Affair,3.7,
1948,"Sorry, Wrong Number",3.6,
1948,Call Northside 777,3.5,
1948,Louisiana Story,3.4,
1948,Melody Time,3.2,
1948,Red River,0,
1948,The Time of Your Life,0,
1948,The Paleface,0,
1948,He Walked by Night,0,
1948,Portrait of Jennie,0,
1948,Key Largo,0,
1948,The Big Clock,0,
1948,The Snake Pit,0,
1948,Fort Apache,0,
1948,Adventures of Don Juan,0,
1948,So Dear to My Heart,0,
1948,The Loves of Carmen,0,
1948,Johnny Belinda,0,
1948,La terra trema: Episodio del mare,0,
1948,The Boy with Green Hair,0,
1948,Mr. Blandings Builds His Dream House,0,
1948,Wake of the Red Witch,0,
1948,Germania anno zero,0,
1949,"""The Lone Ranger""",NULL,
1949,They Live by Night,NULL,
1949,The Third Man,4.3,
1949,Banshun,4.3,
1949,Kind Hearts and Coronets,4.3,
1949,White Heat,4.2,
1949,Jour de fête,4,
1949,Adam's Rib,3.9,
1949,A Letter to Three Wives,3.8,
1949,In the Good Old Summertime,3.8,
1949,I Was a Male War Bride,3.6,
1949,The Adventures of Ichabod and Mr. Toad,3.4,
1949,Under Capricorn,3,
1949,"Abbott and Costello Meet the Killer, Boris Karloff",0,
1949,Shizukanaru kettô,0,
1949,The Fountainhead,0,
1949,Battleground,0,
1949,Take Me Out to the Ball Game,0,
1949,The Reckless Moment,0,
1949,The Rocking Horse Winner,0,
1949,On the Town,0,
1949,Sands of Iwo Jima,0,
1949,The Heiress,0,
1949,Africa Screams,0,
1949,Tokyo Joe,0,
1949,She Wore a Yellow Ribbon,0,
1949,Nora inu,0,
1949,The Inspector General,0,
1949,Twelve O'Clock High,0,
1949,The Red Pony,0,
1949,Love Happy,0,
1949,The Set-Up,0,
1949,Twelve O'Clock High,0,
1949,Nora inu,0,
1950,Los olvidados,4.4,
1950,Sunset Blvd.,4.3,
1950,Sunset Blvd.,4.3,
1950,Orphée,4.2,
1950,All About Eve,4.2,
1950,In a Lonely Place,4,
1950,"Francesco, giullare di Dio",3.9,
1950,Born Yesterday,3.9,
1950,Born Yesterday,3.9,
1950,Les enfants terribles,3.8,
1950,Winchester '73,3.8,
1950,Cyrano de Bergerac,3.8,
1950,Deadly Is the Female,3.8,
1950,Where the Sidewalk Ends,3.7,
1950,Shûbun,3.6,
1950,Luci del varietà,3.6,
1950,Panic in the Streets,3.5,
1950,Cinderella,3.5,
1950,Cinderella,3.5,
1950,Stage Fright,3.4,
1950,Rashômon,0,
1950,King Solomon's Mines,0,
1950,Wagon Master,0,
1950,Rio Grande,0,
1950,Fancy Pants,0,
1950,Stromboli,0,
1950,The Gunfighter,0,
1950,King Solomon's Mines,0,
1950,Halls of Montezuma,0,
1950,Destination Moon,0,
1950,The Asphalt Jungle,0,
1950,Champagne for Caesar,0,
1950,At War with the Army,0,
1950,King Solomon's Mines,0,
1950,Kim,0,
1950,Rocketship X-M,0,
1951,I Can Get It for You Wholesale,NULL,
1951,Der Untertan,NULL,
1951,The Browning Version,4.3,
1951,Ace in the Hole,4.2,
1951,Journal d'un curé de campagne,4.1,
1951,Bakushû,4.1,
1951,Bellissima,4,
1951,Strangers on a Train,4,
1951,Strangers on a Train,4,
1951,A Place in the Sun,3.9,
1951,A Streetcar Named Desire,3.9,
1951,The African Queen,3.8,
1951,The Day the Earth Stood Still,3.8,
1951,The Day the Earth Stood Still,3.8,
1951,An American in Paris,3.7,
1951,The Thing from Another World,3.6,
1951,Flying Leathernecks,3.4,
1951,When Worlds Collide,3.4,
1951,Alice in Wonderland,3.3,
1951,Scrooge,3.3,
1951,On Moonlight Bay,0,
1951,David and Bathsheba,0,
1951,Quo Vadis,0,
1951,Royal Wedding,0,
1951,Go for Broke!,0,
1951,Hakuchi,0,
1951,Captain Horatio Hornblower R.N.,0,
1951,The Man in the White Suit,0,
1951,Detective Story,0,
1951,The Lavender Hill Mob,0,
1951,Operation Pacific,0,
1951,Happy Go Lovely,0,
1951,The Desert Fox: The Story of Rommel,0,
1951,Bullfighter and the Lady,0,
1951,Angels in the Outfield,0,
1951,The Red Badge of Courage,0,
1951,Abbott and Costello Meet the Invisible Man,0,
1951,People Will Talk,0,
1952,Ikiru,4.5,
1952,Umberto D.,4.3,
1952,The Quiet Man,4.1,
1952,Singin' in the Rain,3.9,
1952,High Noon,3.9,
1952,Le carrosse d'or,3.9,
1952,Singin' in the Rain,3.9,
1952,Singin' in the Rain,3.9,
1952,The Bad and the Beautiful,3.8,
1952,On Dangerous Ground,3.8,
1952,Casque d'or,3.7,
1952,Lo sceicco bianco,3.6,
1952,Pat and Mike,3.5,
1952,Macao,3.4,
1952,Ruby Gentry,3.1,
1952,The Big Trees,0,
1952,Scaramouche,0,
1952,The Stooge,0,
1952,"Come Back, Little Sheba",0,
1952,What Price Glory,0,
1952,Bend of the River,0,
1952,The Narrow Margin,0,
1952,The Prisoner of Zenda,0,
1952,Hans Christian Andersen,0,
1952,Ivanhoe,0,
1952,The Greatest Show on Earth,0,
1952,We're Not Married!,0,
1952,Saikaku ichidai onna,0,
1952,Sudden Fear,0,
1952,Jeux interdits,0,
1952,Kansas City Confidential,0,
1952,The Snows of Kilimanjaro,0,
1952,Don't Bother to Knock,0,
1952,Limelight,0,
1952,The Crimson Pirate,0,
1952,Belles on Their Toes,0,
1952,Don Camillo,0,
1952,Road to Bali,0,
1953,Sommaren med Monika,NULL,
1953,Le retour de Don Camillo,NULL,
1953,Tôkyô monogatari,4.4,
1953,Le salaire de la peur,4.4,
1953,Ugetsu monogatari,4.3,
1953,Madame de...,4.3,
1953,Stalag 17,4.2,
1953,Roman Holiday,4.1,
1953,I vitelloni,4.1,
1953,Pickup on South Street,4,
1953,Les vacances de Monsieur Hulot,4,
1953,Gycklarnas afton,4,
1953,From Here to Eternity,3.9,
1953,The Band Wagon,3.8,
1953,The Naked Spur,3.8,
1953,Gentlemen Prefer Blondes,3.7,
1953,Shane,3.7,
1953,I Confess,3.6,
1953,Kiss Me Kate,3.6,
1953,I Confess,3.6,
1953,Beat the Devil,3.3,
1953,It Came from Outer Space,3.1,
1953,Glen or Glenda,2.6,
1953,The Hitch-Hiker,0,
1953,The Cruel Sea,0,
1953,Project Moon Base,0,
1953,Arrowhead,0,
1953,Niagara,0,
1953,Calamity Jane,0,
1953,Let's Do It Again,0,
1953,How to Marry a Millionaire,0,
1953,The Blue Gardenia,0,
1953,The Bigamist,0,
1953,Project Moon Base,0,
1953,Hondo,0,
1953,Cat-Women of the Moon,0,
1953,The Big Heat,0,
1953,Stazione Termini,0,
1953,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,0,
1953,"The Beast from 20,000 Fathoms",0,
1953,Invaders from Mars,0,
1953,The Desert Rats,0,
1953,By the Light of the Silvery Moon,0,
1953,Niagara,0,
1953,"The 5,000 Fingers of Dr. T.",0,
1953,Mogambo,0,
1954,Attila,NULL,
1954,Shichinin no samurai,4.5,
1954,Shichinin no samurai,4.5,
1954,La strada,4.3,
1954,On the Waterfront,4.2,
1954,Rear Window,4.2,
1954,Gojira,4.1,
1954,Touchez pas au grisbi,4,
1954,Johnny Guitar,4,
1954,Dial M for Murder,3.9,
1954,Carmen Jones,3.9,
1954,Sabrina,3.8,
1954,The Caine Mutiny,3.8,
1954,Sabrina,3.8,
1954,The Barefoot Contessa,3.6,
1954,River of No Return,3.4,
1954,Suddenly,3.3,
1954,Creature from the Black Lagoon,3.3,
1954,20000 Leagues Under the Sea,3.2,
1954,The Last Time I Saw Paris,3.1,
1954,The Country Girl,0,
1954,Devil Girl from Mars,0,
1954,Apache,0,
1954,Ulisse,0,
1954,The Far Country,0,
1954,Prince Valiant,0,
1954,Brigadoon,0,
1954,Prince Valiant,0,
1954,Demetrius and the Gladiators,0,
1954,White Christmas,0,
1954,The High and the Mighty,0,
1954,Executive Suite,0,
1954,The Purple Plain,0,
1954,Seven Brides for Seven Brothers,0,
1954,There's No Business Like Show Business,0,
1954,Cattle Queen of Montana,0,
1954,Miyamoto Musashi,0,
1954,The Naked Jungle,0,
1954,The Glenn Miller Story,0,
1954,Sanshô dayû,0,
1954,Vera Cruz,0,
1955,Love Is a Many-Splendored Thing,NULL,
1955,Pather Panchali,4.5,
1955,Ordet,4.4,
1955,Du rififi chez les hommes,4.3,
1955,The Night of the Hunter,4.2,
1955,Les diaboliques,4.1,
1955,East of Eden,4,
1955,Sommarnattens leende,4,
1955,East of Eden,4,
1955,Kiss Me Deadly,4,
1955,Bad Day at Black Rock,3.9,
1955,Bad Day at Black Rock,3.9,
1955,Mr. Arkadin,3.9,
1955,Rebel Without a Cause,3.9,
1955,Lola Montès,3.8,
1955,The Man with the Golden Arm,3.8,
1955,Summertime,3.7,
1955,Ikimono no kiroku,3.6,
1955,The Trouble with Harry,3.6,
1955,The Seven Year Itch,3.6,
1955,Lady and the Tramp,3.5,
1955,The Big Combo,3.5,
1955,Blackboard Jungle,3.5,
1955,Picnic,3.5,
1955,The Court-Martial of Billy Mitchell,3.5,
1955,Oklahoma!,3.4,
1955,Killer's Kiss,3.3,
1955,Daddy Long Legs,0,
1955,Abbott and Costello Meet the Mummy,0,
1955,All That Heaven Allows,0,
1955,The Kentuckian,0,
1955,Queen Bee,0,
1955,The Long Gray Line,0,
1955,Guys and Dolls,0,
1955,The Big Knife,0,
1955,Bride of the Monster,0,
1955,The Man from Laramie,0,
1955,Battle Cry,0,
1955,Mister Roberts,0,
1955,To Catch a Thief,0,
1955,The Court Jester,0,
1955,The Dam Busters,0,
1955,"Davy Crockett, King of the Wild Frontier",0,
1955,The Desperate Hours,0,
1955,It Came from Beneath the Sea,0,
1955,Tarantula,0,
1955,Tuntematon sotilas,0,
1955,Zoku Miyamoto Musashi: Ichijôji no kettô,0,
1955,The Desperate Hours,0,
1955,This Island Earth,0,
1955,Marcelino pan y vino,0,
1955,The Rose Tattoo,0,
1955,Conquest of Space,0,
1956,Aparajito,4.3,
1956,Un condamné à mort s'est échappé ou Le vent souffle où il veut,4.3,
1956,Le ballon rouge,4.2,
1956,Bob le flambeur,4,
1956,The Searchers,4,
1956,The Killing,4,
1956,Giant,3.9,
1956,Somebody Up There Likes Me,3.9,
1956,Baby Doll,3.9,
1956,Forbidden Planet,3.8,
1956,Written on the Wind,3.8,
1956,High Society,3.8,
1956,The King and I,3.6,
1956,The King and I,3.6,
1956,Invasion of the Body Snatchers,3.6,
1956,Invasion of the Body Snatchers,3.6,
1956,Invasion of the Body Snatchers,3.6,
1956,Invasion of the Body Snatchers,3.6,
1956,The Ten Commandments,3.6,
1956,The Wrong Man,3.6,
1956,"Godzilla, King of the Monsters!",3.6,
